,name,englishname,nickname,nation,race,zodiac_tyep,blood_type,height,weight,birthsite,birthday,occupation,school,company,main_works,main_achieve,judge,judge_cut
506,李大为,,,中国,汉,,,,,,1970年07月29日,导演 摄影,北京电影学院摄影系,,"金粉世家
走着瞧",第27届中国电影金鸡奖导演处女作奖,李大为擅长用优美的镜头语言展示情感，执导的《金粉世家》是脍炙人口的电视剧佳作，《二十四城记》是李大为用唯美的手法拍摄厚重背景的新尝试。,李 大为 擅长 优美 镜头 语言 展示 情感 执导 金粉 世家 脍炙人口 电视剧 佳作 二十四 城记 李 大为 唯美 手法 拍摄 厚重 背景 新 尝试
507,贾跃亭,,,中国,汉族,,,,,山西襄汾,1973年02月06日,企业家,,,乐视网乐视致新乐视影业网酒网,"乐视网创始人
CEO
2014十大商业人物
2016福布斯中国富豪榜排名第37位",作为乐视的掌舵者，贾跃亭，就是一个喜欢颠覆的人。版权分销、视频第一股、盒子、超级电视……乐视几乎成了近几年网络视频行业的“弄潮儿”，不断成为“第一个吃螃蟹的人”。（证券日报评） 贾跃亭只去过一次美国。他最喜欢的就是马刺队更衣室里那一句话：当一切看起来无可挽回之时，我跑去看石匠重复捶击他面前的岩石一百次，而那块石头连一个裂缝都没有露出来。接下来的第一百零一次捶击之时，此石一分为二。不是因为这一次捶击，而是因为你的始终如一。（外滩画报评） 从外形与言谈看，贾确实不具备电视杀手的气质，但不要忽略隐藏在他消瘦身躯中偏执的力量。贾跃亭或许将自己定位于《疯狂原始人》中的新人类盖，而那些质疑者如同仍在迷恋洞穴的瓜哥。贾的样本意义在于：他会为如何在大屏领域打造一种闭环生态系统，以及需要怎样的产业链控制力、多大的用户规模才能够形成价值正循环，充当小白鼠，这也是乔布斯留下的难题之一。（中国企业家评）,乐视 掌舵者 贾跃亭 喜欢 颠覆 版权 分销 视频 第一股 盒子 超级 电视 乐视 成 近几年 网络 视频 行业 弄潮儿 第一个 吃螃蟹 证券日报 评 贾跃亭 去过 美国 喜欢 马刺队 更衣室 里 一句 话 无可挽回 时 跑 石匠 重复 捶击 面前 岩石 一百次 那块 石头 裂缝 露出 第一百 捶击 时 此石 一分为二 捶击 始终如一 外滩 画报 评 外形 言谈 贾 确实 具备 电视 杀手 气质 忽略 隐藏 消瘦 身躯 中 偏执 力量 贾跃亭 位于 疯狂 原始人 中 新 人类 盖 质疑 迷恋 洞穴 瓜哥 贾 样本 意义 他会 大屏 领域 打造 一种 闭环 生态系统 产业链 控制力 多大 用户 规模 价值 正 循环 充当 小白鼠 乔布斯 留下 难题 中国 企业家 评
508,萧芳芳,JosephineSiao,萧亮 MBE,澳大利亚,汉族,双鱼座,,,,上海,1947年03月13日,演员,美国新泽西州西顿贺尔大学,,"女人四十
不是冤家不聚头
虎度门
方世玉
苦儿流浪记
梅姑","两届台湾电影金马奖最佳女主角
两届香港电影金像奖最佳女主角
第45届柏林国际电影节最佳女演员
第41届亚太电影节最佳女主角
第01届香港电影金紫荆奖最佳女主角展开主要成就两届台湾电影金马奖最佳女主角
两届香港电影金像奖最佳女主角
第45届柏林国际电影节最佳女演员
第41届亚太电影节最佳女主角
第01届香港电影金紫荆奖最佳女主角
第02届香港电影评论学会奖最佳女主角
第16届台湾电视金钟奖最佳女主角
第12届台湾电影金马奖最佳女配角
第28届香港电影金像奖终身成就奖",萧芳芳 萧芳芳从影四十年，是一个不断以努力实现梦想的超凡女性。童星时期她一度被港台影迷誉为是中国的秀兰邓波儿。她演唱的电影主题歌《世上只有妈妈好》日后被引入台湾电影，成为两岸三地广为流传的歌曲。（腾讯娱乐评） 在港台以至大陆的女演员当中，萧芳芳无论是才艺还是为人都有着很多值得钦佩之处。（新浪娱乐评） 萧芳芳，一个勇往直前，不断以努力实现梦想的超凡女性，她所演绎的，是一个比银幕上数百个角色都更加精彩的人生。（人民网娱乐评） 萧芳芳由于身体欠佳，淡出银幕后，积极的投身于公益事业，如1998年，她创立了护苗基金，积极宣传“保护儿童免受性侵犯”的讯息。所谓“德艺双馨”，萧芳芳当之无愧。（搜狐娱乐评） 萧芳芳除了擅长英语外，更擅长舞蹈、绘画、礼仪等。她自己曾编辑出版过英语进修教材及讲解西方礼仪的《洋相》一书，这在演员之中实在不多见。（网易娱乐评） 除了萧芳芳，大约没有其他人，能似她那样活泼轻松地对待世间的浮华烟名。（王家卫评） 萧芳芳是奇女子，可以绚烂，可以平淡，幅度之广，友人之中，以她为第一。（黄沾评）,萧芳芳 萧芳芳 从影 四十年 努力实现 梦想 超凡 女性 童星 时期 一度 港台 影迷 誉为 中国 秀兰 邓波儿 演唱 电影 主题歌 世上 妈妈 日后 引入 台湾 电影 两岸三地 广为流传 歌曲 腾讯 娱乐 评 港台 大陆 女演员 萧芳芳 无论是 才艺 值得 钦佩 处 新浪 娱乐 评 萧芳芳 勇往直前 努力实现 梦想 超凡 女性 演绎 银幕 数百个 角色 精彩 人生 人民网 娱乐 评 萧芳芳 身体 欠佳 淡出 银幕 投身于 公益事业 1998 年 创立 护苗 基金 宣传 保护 儿童 免受 性侵犯 讯息 德艺双馨 萧芳芳 当之无愧 搜狐 娱乐 评 萧芳芳 擅长 英语 外 擅长 舞蹈 绘画 礼仪 编辑出版 英语 进修 教材 讲解 西方 礼仪 洋相 一书 演员 之中 实在 不多见 网易娱乐 评 萧芳芳 其他人 能似 活泼 轻松 世间 浮华 烟名 王家卫 评 萧芳芳 奇女子 绚烂 平淡 幅度 之广 友人 之中 第一 黄沾评
509,吴家丽,CarrieNg,,中国,汉,双鱼座,,166cm,48kg,中国香港,1963年01月01日,影视演员,香港无线电视艺员训练班第十期,,"《郎心如铁》（又名赤裸的诱惑）
《龙腾四海》
《天长地久》
《流星语》","第30届台湾电影金马奖最佳女主角
第19届香港电影金像奖最佳女配角",无论是扮像还是眼神，吴家丽都有着一股超乎普通美女的性感。在《网中情》和《天罗地网》等影片中。吴家丽所扮演的角色虽然脱不了性感、艳丽，但却都颇具性格、给观众留下了极其深刻的印象。在张之亮的《流星语》中，她饰演的兰姐感人肺腑。（新浪娱乐评）,无论是 扮像 眼神 吴家丽 一股 超乎 美女 性感 网中情 天罗地网 影片 中 吴家丽 扮演 角色 脱不了 性感 艳丽 颇具 性格 观众 留下 深刻 印象 张之亮 流星 语 中 饰演 兰姐 感人肺腑 新浪 娱乐 评
511,奚梦瑶,MingXi,,中国,汉族,双鱼座,,178cm,52kg,上海,1989年03月08日,模特,东华大学,,"维多利亚的秘密
VOGUE","上海时装周春夏2012代言人
Givenchy纪梵希广告首位亚洲面孔
2013年维多利亚的秘密中国超模
代表中国时尚出席2013MetBall
受邀参加2013戛纳国际影展红毯",启用的第一位亚洲模特 奚梦瑶自从参加2009年的世界精英模特大赛，便开始踏足模特圈，从模特新星到国际超模，如今的奚梦瑶从“时尚界奥斯卡”METGALA到电影节最高规格的戛纳影展，从秀场、大片到红毯、街拍，成了中国时尚圈的中坚人物，也是最具代表性的超模之一（腾讯时尚评）。 奚梦瑶是她非常欣赏的中国模特，她天生就具备了超模的潜质、又以非常专业与谦和的态度勤恳工作，在当今时尚圈中十分难能可贵（中国版《VOGUE》主编张宇评）。 奚梦瑶活泼开朗的性格在国外时尚圈深受好评，古灵精怪的后台靓照在国内外时尚论坛转发不断。她的多才多艺与风趣个性让所有合作者都大加称赞。身为国际超模，兼任红毯明星、专栏写手、造型师等多重身份，台前幕后，每一次亮相都惊艳十足（新浪时尚评）。 奚梦瑶与刘雯、秦舒培、孙菲菲并称中国超模“四大金刚”（新华网评）。,启用 第一位 亚洲 模特 奚梦瑶 参加 2009 年 世界 精英 模特大赛 踏足 模特 圈 模特 新星 国际 超模 奚梦瑶 时尚界 奥斯卡 METGALA 电影节 规格 戛纳 影展 从秀场 大片 红毯 街 拍 成 中国 时尚 圈 中坚 人物 最具 代表性 超模 腾讯 时尚 评 奚梦瑶 欣赏 中国 模特 天生 具备 超模 潜质 专业 谦和 态度 勤恳 工作 当今 时尚 圈中 难能可贵 中国 版 VOGUE 主编 张宇评 奚梦瑶 活泼开朗 性格 国外 时尚 圈 深受 好评 古灵精怪 后台 靓照 国内外 时尚 论坛 转发 多才多艺 风趣 个性 合作者 大加 称赞 身为 国际 超模 兼任 红毯 明星 专栏 写手 造型师 多重 身份 台前幕后 亮相 惊艳 十足 新浪 时尚 评 奚梦瑶 刘雯 秦舒培 孙菲菲 并称 中国 超模 四大 金刚 新华网 评
513,陈松勇,SungYoungChen,,中国,,巨蟹座,,,,中国台湾,1945年07月01日,演员,,,"悲情城市
方世玉等",第26届台湾电影金马奖最佳男主角奖,陈松勇，身形肥胖，动作夸张，喜剧感较强，尤擅出演外表粗犷豪放内心厚道热情的小人物，角色表演得自然洒脱，分外传神，因而被港台影评界公认为是一位“面对江湖义气与家庭亲情都有真情流露的杰出演员”颇受香港商业片导演欢迎 。（时光网评价） 陈松勇多在电影中扮演黑帮首领、名门望族或者有情有义的流氓形象，表现豪迈爽快。善于配合电影角色，常以“讦谯”（台语，大声恶言骂人之意）形象示人 。（南通新闻网评价）,陈松勇 身形 肥胖 动作 夸张 喜剧 感较 强 尤 擅 出演 外表 粗犷 豪放 内心 厚道 热情 小人物 角色 表演 自然 洒脱 分外 传神 港台 影评 界 公认 一位 面对 江湖义气 家庭 亲情 真情流露 杰出 演员 颇受 香港 商业片 导演 时光 网 评价 陈松勇 电影 中 扮演 黑帮 首领 名门望族 有情有义 流氓 形象 表现 豪迈 爽快 善于 配合 电影 角色 讦 谯 台语 大声 恶言 骂人 之意 形象 示人 南通 新闻网 评价
514,柯俊雄,,柯振雄 柯俊良,中国,汉族,摩羯座,,,,台湾高雄,1945年01月15日,电影演员 编剧 导演 国民党黄复兴党部第11支部顾问,高雄市立第二中学,,"寂寞的十七岁
英烈千秋
哑女情深","第16届台湾电影金马奖最佳男主角奖
第36届台湾电影金马奖最佳男主角奖",柯俊雄在《黄埔军魂》里饰演一个终身执教作育英才的陆军官校教官，外表严厉，对学生却有望子成龙的殷切期盼。柯俊雄深入地演绎出了作为一个教官在严厉背后，包含如师如父的关爱，传达了军事教育的真谛的道理。（网易新闻评） 琼瑶作品中男主角一般都会代表社会语言秩序与价值观念中的一个典型男性形象，柯俊雄很吻合原著中要表达的强而有力的男性形象（琼瑶评 ）。,柯俊雄 黄埔 军魂 里 饰演 终身 执教 作 育英 陆军官校 教官 外表 严厉 学生 望子成龙 殷切 期盼 柯俊雄 演绎出 教官 严厉 背后 包含 如师 如父 关爱 传达 军事 教育 真谛 道理 网易 新闻 评 琼瑶 作品 中 男主角 代表 社会 语言 秩序 价值观念 中 典型 男性 形象 柯俊雄 吻合 原著 中要 表达 强而有力 男性 形象 琼瑶 评
515,涂们,Tumen,,中国,鄂温克族,,,,,内蒙古呼伦贝尔市海拉尔区,,演员,上海戏剧学院,,"告别
一代天骄成吉思汗
老兽","第七届表演艺术学会奖金凤凰奖-学会奖
第54届金马奖最佳男主角
第11届FIRST青年电影展最佳演员奖",涂们被称为“草原王爷专业户”，在影视片中常常扮演气度不凡、八面威风的“大汗”、“单于”、“王爷”。生活中的涂们谦虚、幽默。（人民网评） 无论是《悲情布鲁克》中痞气十足的草原汉子，还是《一代天骄成吉思汗》、《止杀令》中杀伐征战的帝王成吉思汗，亦或《贞观长歌》中狂傲霸气的颉利可汗，《嘎达梅林》中气度不凡的王爷，涂们每次在塑造鲜活深刻的角色同时，也将蒙古族的历史与文化演绎得淋漓尽致。在第九届FIRST青年电影展最佳影片《告别》中，涂们凭借精湛的演技，将每一个肢体动作和面部表情都精准的向观众传达催泪情感，获观众称赞。（新浪网评）,涂们 称为 草原 王爷 专业户 影视片 中 扮演 气度不凡 八面威风 汗 单于 王爷 生活 中 涂们 谦虚 幽默 人民网 评 无论是 悲情 布鲁克 中痞 气 十足 草原 汉子 一代 天骄 成吉思汗 止 杀令 中 杀伐 征战 帝王 成吉思汗 贞观 长歌 中 狂傲 霸气 颉利 可汗 嘎达梅林 中 气度不凡 王爷 涂们 每次 塑造 鲜活 深刻 角色 蒙古族 历史 文化 演绎 淋漓尽致 第九届 FIRST 青年 电影展 最佳影片 告别 中 涂们 精湛 演技 肢体 动作 面部 表情 精准 观众 传达 催泪 情感 获 观众 称赞 新浪网 评
516,骆新,xinluo,,中国,,,,,,北京,,主持人,中央戏剧学院,,,"全国电视星光奖
首届中国电视十大名栏目
全国五一新闻奖
上海五一新闻奖一等奖
全国优秀主持人",骆新 冷静、独到、犀利的评论，赢得了广大观众的喜爱，得到国内同行的高度评价。他有强烈的社会责任感以及鲜明的观点，也引起了舆论界的关注。他长期主持并主讲“东方讲坛”，为广大青年人进行国情教育，热心各类公益和慈善活动。对自己主持风格的评价是：犀利而不失亲和，关照而不失独特。他成熟而睿智的词锋给人们留下深刻印象。如果不做主持人，他会选择做人文学科的大学教师、学者。《东方直播室》由东方卫视评论员主持。作为评论员，以往呈现给观众的是严肃有余、活泼不足的“中规中矩”评论员形象。此番一扫过去“犀利但不时尚”的形象，不但发型富有个性，西服色调鲜明，而且总是带着睿智的微笑，或点拨，或总结，或发挥，游刃有余地协调着各大版块，将话题导向“建设性、合理性与人道性”的实际效果（新浪娱乐评价）。,骆新 冷静 独到 犀利 评论 赢得 广大观众 喜爱 国内 同行 高度评价 社会 责任感 鲜明 观点 舆论界 关注 长期 主持 主讲 东方 讲坛 青年人 国情教育 热心 各类 公益 慈善 活动 主持 风格 评价 犀利 不失 亲 关照 不失 独特 成熟 睿智 词锋 留下 深刻印象 做 主持人 他会 选择 做 人文学科 大学 教师 学者 东方 直播室 东方 卫视 评论员 主持 评论员 以往 呈现 观众 严肃 有余 活泼 中规中矩 评论员 形象 此番 扫过去 犀利 时尚 形象 发型 富有 个性 西服 色调 鲜明 睿智 微笑 点拨 发挥 游刃有余 协调 各大 版块 话题 导向 建设性 合理性 人道性 实际效果 新浪 娱乐 评价
518,董浩,,董大都 风车王,中国,汉族,,,,,北京市海淀区,1956年04月01日,主持人 配音演员 画家,首都师范大学,,"大风车
天天饮食
新大头儿子小头爸爸",2009年“金话筒奖”,董浩为《阿童木》茶水博士配音 作为全国广播电视一线播龄最长的男主持人，董浩主持的节目陪伴一代人的成长，观众们都叫他“董叔叔”，他用声音演绎“米老鼠”的形象更是深入人心。（北京晚报评） 他以聪慧机智，幽默风趣的主持风格赢得孩子们的喜爱。他那憨态可掬、亲切和蔼、妙语连珠、童心永驻的动人形象成为当之无愧的“孩子王”。（北京广播电视报评） 他被小朋友及语言朗诵界的朋友称为“故事大王”、“孙敬修第二”。（北京娱乐信报评） 《大风车》已开播20年，曾在该节目露过脸的主持人换了一拨又一拨。董浩与鞠萍的搭配组合却是历久弥坚，不可否认的是，仅从影响力、知名度来看，央视新一代少儿节目主持人已经很难再达到两人的高度。（长沙晚报评）,董浩为 阿童木 茶水 博士 配音 全国 广播电视 一线 播龄 最长 男 主持人 董浩 主持 节目 陪伴 一代人 成长 观众们 董 叔叔 声音 演绎 米老鼠 形象 更是 深入人心 北京晚报 评 聪慧 机智 幽默 风趣 主持 风格 赢得 孩子 喜爱 憨态可掬 亲切 和蔼 妙语连珠 童心 永驻 动人 形象 当之无愧 孩子王 北京 广播电视 报评 小朋友 语言 朗诵 界 朋友 称为 故事 大王 孙敬修 北京 娱乐 信报 评 大风车 开播 20 年 节目 露过 脸 主持人 换 一拨 一拨 董浩 鞠萍 搭配 组合 却是 历久弥坚 不可否认 影响力 知名度 央视 新一代 少儿 节目 主持人 很难 两人 高度 长沙 晚报 评
523,霍建起,フォ・ジェンチイ（日），ХоЦзяньци（俄），곽건기（韩）,“第五代半”导演,中国,汉族,,,,,北京,1958年01月20日,美术设计 导演,北京电影学院,,"暖
那山那人那狗
秋之白华","一届中国电影金鸡奖最佳导演奖
两届中国电影华表奖优秀导演奖
第6届上海国际电影节最佳影片奖
第16届东京国际电影节最佳影片奖",媒体评价 《大众电影》：他一如既往地话少、冷静、沉稳，既不故作深沉也不咋咋忽忽。,媒体 评价 大众 电影 一如既往 地话 少 冷静 沉稳 故作 深沉 忽忽
524,娜仁花,,,中国,蒙古族,,,,,内蒙古锡林浩特,1962年11月17日,演员 导演 制片人,北京电影学院,,"晨曲
无声的雨丝
湘女萧萧
额吉","中国电影金鸡奖最佳女主角
中国电影华表奖优秀女演员
中国电影童牛奖优秀成人演员",娜仁花在国外的身份是访问学者，她所学到的西方电影的观念和技巧，对中西方文化的接轨和国际合作是大有裨益的。（新浪娱乐评） 娜仁花在电影《额吉》中饰演的母亲像河流一样静静地流淌自己宽厚的母爱，把母性的所有光辉都集中到多兰这个母亲上，感人至深。娜仁花是个爱思考的演员，因此很擅长演一些外表平静、内心复杂的人物。（网易娱乐评）,娜仁花 国外 身份 访问学者 所学 西方 电影 观念 技巧 中 西方 文化 接轨 国际 合作 大有裨益 新浪 娱乐 评 娜仁花 电影 额吉 中 饰演 母亲 河流 静静地 流淌 宽厚 母爱 母性 光辉 多兰 母亲 感人至深 娜仁花 爱 思考 演员 擅长 演 外表 平静 内心 人物 网易娱乐 评
525,关海山,NancySit,关宁 关铭觉,中国,,,,,,广东广州,1925年10月23日,影视演员 粤剧老倌,,,"五亿探长雷洛传
庙街皇后
A计划等","香港电影金像奖最佳男配角
台湾电影金马奖最佳男配角",关海山 关海山由粤剧文武生到电影、电视圈工作，形象百变，荧幕上的他具富豪贵气，饰演草根阶层角色又深入民心，还有慈祥的父亲角色等，多年来的演出感动不少观众。（《娱乐晨报》评价） 关海山涉影数十年，扮演角色不计其数，上至皇帝首富，下至木匠劳工，好至乐于助人的老差骨，坏至人面兽心的淫贼，无不饰演得有血有肉令人信服。甚至有些戏你淡忘了主角，却牢记了那个出场不多只有三言两语的配角关海山。（搜狐娱乐评价）,关海山 关海山 粤剧 文武 生到 电影 电视 圈 工作 形象 百变 荧幕 具 富豪 贵气 饰演 草根 阶层 角色 民心 慈祥 父亲 角色 多年 演出 感动 观众 娱乐 晨报 评价 关海山 涉影 数十年 扮演 角色 不计其数 皇帝 首富 木匠 劳工 乐于助人 差骨 坏 人面兽心 淫贼 无不 饰演 有血有肉 令人信服 戏 淡忘 主角 牢记 出场 三言两语 配角 关海山 搜狐 娱乐 评价
526,程雷,,,中国,汉族,处女座,,182cm,725kg,上海市,1971年08月26日,主持人,上海戏剧学院,,"相约星期六
中国达人秀
明星学院
智力大冲浪
梦立方",2013年度中国广播电视节目主持人金话筒奖,程雷在《梦立方》 程雷符合心细、谨慎的“上海男人”形象，被上海阿姨妈妈们视为“女婿代言人”（新闻晨报评）。 程雷主持风格平实而幽默，在节目选手挑战中，那种挑战同在、命运同在的感觉，就是把选手当作了自家人（腾讯娱乐评）。 程雷在学生时期是爱读书，不像表演系的，他始终平和宽容诚恳，又成了主持群里不像主持人的那一个，这种异质化存在，实在难能可贵（导演戴钟伟评）。 程雷是上海电视台观众认知度较高的节目主持人，也因此获得了上海荧屏“万人迷”的称号（东方网评）。,程雷 梦 立方 程雷 符合 心细 谨慎 上海 男人 形象 上海 阿姨 妈妈 视为 女婿 代言人 新闻晨报 评 程雷 主持 风格 平实 幽默 节目 选手 挑战 中 那种 挑战 命运 感觉 选手 当作 自家人 腾讯 娱乐 评 程雷 学生 时期 爱 读书 不像 表演系 始终 平和 宽容 诚恳 成 主持 群里 主持人 异质 化 实在 难能可贵 导演 戴钟 伟评 程雷 上海电视台 观众 认知度 高 节目 主持人 上海 荧屏 万人迷 称号 东方网 评
527,柴静,ChaiJing,,中华人民共和国,汉族,,,163cm,51kg,山西临汾,1976年01月01日,记者 主持人,中国传媒大学,,"《面对面》
《看见》
《24小时》
《柴静调查：穹顶之下》","柴静当选央视年度“十佳主持人”
央视2009年度“优秀播音员主持人”
2010年度土豆节金镜头奖",柴静，作为一名记者兼主持人，节目当中她是冷静客观的，她有一颗炽热的扶持弱者的心灵。她气质优雅，而又锋芒毕露。始终站在离新闻最近的地方，她以她的犀利和敏锐、坚定与坚持，最终历练成为一名优秀的新闻工作者。在非典期间，她曾成功报道“非典”，她本人也因《北京“非典”狙击战》等专题节目，成为著名的“非典前线”女记者。 她矜持冷静，并不多话，亦不善身体表达。镜头里，她只用最清简，真实的新闻语言贴近事实。每每面对镜头，神情淡定，声音柔和。素妆出镜时，清简短发，喜欢系围巾，像个清秀的邻家女孩。柴静在媒体上表现出来的形象也让公众相信她就是一个不食人间烟火的“公知女神”。,柴静 一名 记者 兼 主持人 节目 冷静 客观 一颗 炽热 扶持 弱者 心灵 气质 优雅 锋芒毕露 始终 站 新闻 地方 犀利 敏锐 坚定 最终 历练 一名 优秀 新闻 工作者 非典 期间 成功 报道 非典 北京 非典 狙击战 专题 节目 著名 非典 前线 女 记者 矜持 冷静 并不多 话 不善 身体 表达 镜头 里 只用 最清简 真实 新闻 语言 贴近 事实 面对 镜头 神情 淡定 声音 柔和 素妆 出镜 时 清 简短 发 喜欢 系 围巾 清秀 邻家女孩 柴静 媒体 表现 形象 公众 不食 人间烟火 公知 女神
528,孟非,Morphy,,中国,汉,天秤座,B型,,,重庆,1971年01月01日,主持人,南京师范大学,,"非诚勿扰
飞向亚特兰大
南京零距离","第9届金鹰奖最佳电视节目主持人
《新周刊》2010年度最佳主持人
《新周刊》2011年度最佳主持人
《新周刊》2012年度最佳主持人
江苏省广播电视总台突出贡献奖展开主要成就第9届金鹰奖最佳电视节目主持人
《新周刊》2010年度最佳主持人
《新周刊》2011年度最佳主持人
《新周刊》2012年度最佳主持人
江苏省广播电视总台突出贡献奖
荣登2013第八届中国作家富豪榜",孟非 是一位天才主持人（乐嘉评）。 他以主持民生新闻的历练和主持娱乐选秀的经验，为《非诚勿扰》设定出既有悬念又不矫情、既多姿多采又风格清新的尺度感，可模仿，难超越。他能让嘉宾说真话、演自己；也能与点评人相得益彰，并让后者也精彩纷呈（2011年《新周刊》的评价）。 他不装，以人心自度，为男女指点迷津，亦让节目更具温度；他幽默节制，以人性为本，为时代传输正能量，亦让观众保持新鲜感。在这个众声喧哗、娱乐至死的年代，他永远以理性之姿面对复杂中国、以善良之心面对个体（2012年《新周刊》的评价）。,孟非 一位 天才 主持人 乐嘉评 主持 民生 新闻 历练 主持 娱乐 选秀 经验 非诚 勿扰 设定 既有 悬念 矫情 多姿多采 风格 清新 尺度 感 可模仿 难 超越 嘉宾 说 真话 演 点评 相得益彰 精彩纷呈 2011 年 新周刊 评价 不装 人心 自度 男女 指点迷津 节目 更具 温度 幽默 节制 人性 为本 时代 传输 正 能量 观众 新鲜感 众声 喧哗 娱乐 至死 年代 永远 理性 之姿 面对 中国 善良 之心 面对 个体 2012 年 新周刊 评价
529,查可欣,KellyCha,查查（音zhazha）,中国,汉,,,,,贵州,,双语主持人 创作歌手 电台电视主持 演讲家,,,幸福有多远﹑TheLastRadioShow,,丰厚的学养、丰富的经历、不走寻常路的人生轨迹、多领域的蜚然成绩，都令查可欣在年轻人心中具备了榜样的力量。（网易娱乐评） 身为正宗美剧迷的查可欣在艾美奖前线向国内发回大量有趣的美剧报道，还独家采访了《生活大爆炸》、《复仇》、《破产姐妹》等剧中的热门角色，流利英语以及灵活反应获影迷大赞。（新华网评） 作为首位在LA地标性音乐表演场所GenghisCohen表演的中国歌手，Kelly查可欣用中文款款演唱，用英文深情讲故事，以轻松智慧的方式表现两种文化对碰的火花，以最舒服的方式给美国朋友唱中文歌。在美国观众眼里，她用不同的形式，内容、情感充沛的演绎和独特的魅力迷翻了现场。（腾讯网评）,丰厚 学养 经历 走 寻常路 人生 轨迹 领域 蜚然 成绩 令查 可欣 年轻人 心中 具备 榜样 力量 网易娱乐 评 身为 正宗 美剧 迷 查 可欣 艾美奖 前线 国内 发回 有趣 美剧 报道 独家 采访 生活 爆炸 复仇 破产 姐妹 剧中 热门 角色 流利 英语 灵活 获 影迷 大赞 新华网 评 首位 LA 地标 性 音乐 表演 场所 GenghisCohen 表演 中国 歌手 Kelly 查可欣用 中文 款款 演唱 英文 深情 讲故事 轻松 智慧 方式 表现 两种 文化 碰 火花 最舒服 方式 美国 朋友 唱 中文 歌 美国 观众 眼里 形式 内容 情感 充沛 演绎 独特 魅力 迷翻 现场 腾讯网 评
530,李文静,LiWenjing,文静,中华人民共和国,汉族,摩羯座,A型,,,山西大同,1974年01月01日,主持人,山西大学,,"朝闻天下
媒体广场
军情连连看
新闻30分",2011年第12届金话筒奖,提到央视直播，大家对她们的印象都是端庄优雅、高贵大方，但是女主播李文静可不是如此，在沉稳端庄的央视节目中，她显得颇有个性。因为她网友也认为央视终于接地气了，风趣的主持也让观众的心情得到了放松，故此，她被称为央视最俏皮女主播。（北京文艺网评）,提到 央视 直播 印象 端庄 优雅 高贵 大方 女主播 李 文静 可不是 沉稳 端庄 央视 节目 中 显得 个性 网友 央视 终于 接地 气 风趣 主持 观众 心情 放松 称为 央视 俏皮 女主播 北京 文艺 网评
531,胥午梅,,午梅,中国,汉族,双子座,,165cm,50kg,安徽省合肥市,1962年06月06日,主持人,安徽师范大学、北京广播学院,,新闻30分,,胥午梅美照 在胥午梅看来，工作是生活的一种调剂，并非她生命中最重要的东西。她笑嘻嘻地压低嗓门说：“我觉得我挺爱过日子，挺重视过日子的。”她的烹饪手艺在朋友圈里是有名的，全是她凭感觉摸索出来的。她做好吃的滋养自己，也不忘记别人。她去上班的时候，同事们只要看到她手里比平时多了一个沉甸甸的袋子，准会欢呼雀跃起来。胥午梅看起来比她实际年龄年轻很多，她的举止、笑容和完美的皮肤，就像20出头的小女孩儿。《中国妇女报》的记者还专门就美容方面的内容采访过她。可是胥午梅从来不去美容院，她的护肤密诀，一是充足的睡眠，二是不往脸上糊很多东西，让皮肤自由呼吸。其实还应该加上一条，那就是一份真实健康的心态。,胥午 梅美照 胥午梅 工作 生活 一种 调剂 生命 中 东西 笑嘻嘻 压低 嗓门 说 挺 爱 过日子 挺 重视 过日子 烹饪 手艺 朋友 圈里 有名 全是 凭感觉 摸索 做 好吃 滋养 忘记 上班 同事 手里 平时 沉甸甸 袋子 准 欢呼雀跃 胥午梅 年龄 年轻 举止 笑容 完美 皮肤 20 出头 女孩儿 中国妇女报 记者 美容 内容 采访 胥午梅 从来不 美容院 护肤 密诀 一是 充足 睡眠 二是 不往 脸上 糊 东西 皮肤 自由 呼吸 一条 一份 真实 健康 心态
532,邹兆龙,CollinChou,倪星（艺名） 小龙（昵称）,中国,汉族,狮子座,A,180cm,70kg,台湾高雄,1967年08月11日,演员,,,黑客帝国,,邹兆龙 武功好，香港又盛产功夫片，在香港立足没有什么问题。但因为没人力捧，只能充当反派第一杀手之类的大配角，而无法成为举足轻重的大明星。多年以来一直以大反派形象示人。在许多经典的功夫片中，他是唯一能与成龙、李连杰、甄子丹等对打抗衡的人，唯一的遗憾是邹那么好的身手却没有拿过武术冠军。（搜狐网评价） 凭借一身功夫成功打入好莱坞，并在《黑客帝国》中成为唯一一位华人演员。和李连杰都是成功打进好莱坞的武功高手，且出身相似。李连杰说过，跟演对手戏非常舒服，棋逢对手，打得很过瘾。（搜狐网评价）,邹兆龙 武功 香港 盛产 功夫片 香港 立足 人力 捧 只能 充当 反派 第一 杀手 配角 举足轻重 明星 多年 以大 反派 形象 示人 经典 功夫片 中 唯一 成龙 李连杰 甄子丹 抗衡 唯一 遗憾 邹 身手 拿过 武术 冠军 搜狐网 评价 一身 功夫 成功 打入 好莱坞 黑客帝国 中 唯一 一位 华人 演员 李连杰 成功 进 好莱坞 武功 高手 出身 李连杰 说 跟演 对手戏 舒服 棋逢对手 打得 过瘾 搜狐网 评价
