,script
1110,@北京平谷法院 志愿小红和法院大白为#抗疫 再次出征！#加油北京
1111,@定西公安 以共和国名义 向英雄致敬！ @甘肃公安 @渭源公安交警 @中国警察网 #抗疫 #抗疫英雄 #
1112,@所有楚雄人 “国庆 中秋”期间坚决避免前往中、高风险地区，特殊原因前往需报告#楚雄 #抗疫
1113,@抖音小助手 #抗疫 20200202大爱在人间，祈祷平安！
1114,@抖音小助手 #莫名的感动#武汉#抗疫#神曲#友友们早安 喲🌹
1115,@抖音小助手 #防疫志愿者 #抗疫 帮居民买的大肉，这些000多块啊！
1116,@新疆喀什，重5吨、价值600万的防疫物资，已从山东济南发货！请查收#这就是山东#援疆 #抗疫
1117,@第一百货东阳购物中心抖音官方号  #抗疫 爱必胜！中国加油！第一百货加油！
1118,@这些市民，请主动报备、接受核酸检测！#核酸检测 #抗疫 #郫都区
1119,CGTN全球疫情会诊室邀请超百位中外#抗疫 专家远程会诊，分享#中国抗疫 经验👍
1120,CT室一线的2月份奖金……#工资啊 #抗疫
1121,KTV为什么唱到一半就停了#抗疫
1122,Mia套路②…电视坏了看手机#抗疫 #在家无聊 #抖音看电视 #感谢抖音
1123,MissH &MissY来报道，元气满满的一天开始了，做有意义的事，把每天活的热气腾腾，早安！#幼师 #抗疫
1124,stay with you（原唱：林俊杰），致敬每一位逆行者！#唱歌#林俊杰#翻唱#抗疫
1125,“ #美国是 #全球 #抗疫领导者”，说这话人家都不脸红 #抖音小助手
1126,“90后”抗疫白衣天使与百岁战地护士共度节日#护士节 #白衣天使加油 #抗疫 #护士 @抖音小助手
1127,“一定要把工作认认真真地做好”#我的工作我的岗 #抗疫
1128,“人民英雄”#张伯礼：这次#抗疫我是代#中医受誉，让它更好地造福中国人民
1129,“你的声音怎么像我妈妈”#致敬疫情前线最美逆行者 #抗疫 #防控疫情我们在一起
1130,“做“花献佛，愿疫情消散，众生平安吉祥#我的手工花#抗疫
1131,“健康包”快递到家  #祖国是 #海外游子最坚强的后盾！  #抗疫
1132,“北漂”祝家乡人民幸福安康！祈祷北京疫情早日结束！#桐城 #北京 #抗疫 @DOU+小助手 @抖音小助手
1133,“咱身边的好样子 ”-在抗疫战场绽放蓝色青春    #抗疫   #火焰蓝#为你赴汤蹈火  @内蒙古森林消防
1134,“她是累倒的”同事说。这位沂水民jing每天工作到半夜，一直坚守在#抗疫 一线。难道不该为她点赞吗？#感动
1135,“妈妈去打小怪兽了”#我的工作我的岗#抗疫
1136,“就没有攻不下的娄山关，就没有攻不下的腊子口！”兰溪籍院士陈薇登上央视，动情地说了这样一句话 #科研 #抗疫
1137,“尽一点绵薄之力”，#袁隆平 捐0万元支持湖北 #抗疫 。
1138,“广州造”无人机 助抗疫#无人机#抗疫@抖音小助手
1139,“我们回家了！”中国赴柬埔寨抗疫医疗专家组结束集中休整#抗疫英雄 #最美医护者 #医疗队 #抗疫@抖音小助手
1140,“我们要跑得比病毒更快！”马云捐赠物资紧急抵达西班牙和意大利#马云 #抗疫 #意大利 #西班牙之旅
1141,“我在成都 但我不怕 因为我自己知道医护人员是怎么挨家挨户、熬通宵给我们核酸检测的 谢谢你们”❤️#抗疫
1142,“我是#医生 ，我找不到理由逃离。”  #抗疫
1143,“排雷英雄”杜富国致敬抗疫英雄的这一番话，值得掌声！ #遵义   #排雷英雄杜富国  #抗疫
1144,“散布谎言、#抗疫 不力...”！#奥巴马 夫人再次炮轰特朗普。#美国
1145,“比我们老一代干的更好！”钟南山这样称赞他们 #抗疫  #全球抗疫  #钟南山
1146,“没想到还没出站，就又救了一个人”许典双说。致敬，新时代最可爱的人。#抗疫 #致敬 #白衣天使
1147,“疫情上报第一人”张继先讲述疫情上报经过。#纪录片武汉战疫 #心系湖北抗疫情 #湖北加油 #抗疫
1148,“疯子门将”#伊基塔 幽默自黑呼吁#抗疫 ：告诉你别出门 就别出门！回顾一下哥伦比亚国门的疯狂时刻！
1149,“真相让你作呕”！美导演拍摄 #抗疫纪录片《完全可控》
1150,“秋时苇如雪，天涯共苍苍”，中国人民一家亲#明月古镇 #抗疫
1151,“网红妈妈”——安徽援助湖北医疗队队员周国红，在结束#抗疫 后，开启了抗癌之路。#加油 💪
1152,“网红民警”零下28度的坚守  #抗疫
1153,“羊来茶往”！湖北向蒙古国回赠物资。网友：大国风范，睦邻友好。点赞！携手战疫！#湖北 #蒙古 #抗疫
1154,“这是我爸爸！”#民警#抗疫 20余天未回家，5岁女儿对着电视跺脚“炫耀”。#萌娃 #众志成城共抗疫情 #战疫
1155,“逆行天使”葛波涌，用诗歌记录在武汉战斗的45天。尽显凡人之光。#豫见你我他 #抗疫 #白衣天使
1156,“里面的人”为了外面人的安全奉献了自由，“外面的人”为了里面人的坚守送来了支援，里外一心，众志成城   #抗疫
1157,“铁杆朋友，风雨同行”…暖哭了♥️中国在援助物资上写了这些话#抗疫 #援助物资
1158,“闪闪的红星”#抗疫 爱心公益活动重现~这是红星冷链人的专属回忆~拍摄顺利!收工~大家辛苦了🌹
1159,“隔玻璃亲吻”护士陈颖：回家啦！这个拥抱等了45天 #抗疫
1160,”#武汉#必胜！#中国#加油！“ #国家#女足#队员#王霜 为#家乡#抗疫#加油
1161,♥️此生不悔入华夏，来世还在中华家♥️ 致敬每一位唐山援鄂英雄💫💫#抗疫
1162,❤️❤️#抗疫 @抖音小助手
1163,❤️《用爱托起》#这是一场特殊的偶遇…#抗疫 #齐心抗疫 #抗疫夫妻 #最美抗疫夫妻
1164,❤️爸爸拼命挣来的名额#军婚 #抗疫  感谢党和祖国让军人无后顾之忧❤️
1165,❤️逝者安息，英雄不朽#抗疫
1166,《EI Dorado》#抗疫 #胜利 #电吉他#纯音乐 #热门 #背景音乐
1167,《不同的世界》！或许我们深陷苦难才能理解这一切 愿世界依然有❤️#dou艺计划 #抗疫
1168,《主播说》“疫”行者，今天请接受我们最崇高的敬意！#抗疫 @抖音小助手
1169,《卡思迪莱记“疫”》纪录片即将发布，为您讲述一群平凡人在抗疫中的不凡故事#抗疫 #我的2020
1170,《口罩历险记》口罩如何制成的#平面口罩机 #自动化设备 #抗疫@DOU+小助手
1171,《在一起》和《最美逆行者》九月同时开播，那些经历，我们都是其中之一。#首部抗疫题材电视剧 #最美逆行者 #抗疫
1172,《在一起》汇聚半个娱乐圈的人，全部0片酬出演，看看你认出了谁？#电视剧在一起 #在一起 #抗疫
1173,《我们手牵手》红河州蒙自市银河小学少先队大队创作的抗疫作品#抗疫
1174,《我等着你的头发长长》抗疫公益歌曲展映#公益 #抗疫 @抖音小助手
1175,《最可爱的人》抗疫公益歌曲，致敬白衣天使！ #白衣天使加油  #抗疫
1176,《金刚川》中国人民志愿军和抗疫工作者及家属海南放映专场！ #金刚川  #电影  #抗疫  #热门
1177,「我不想做一棵树或者一片波浪，我要让观众从舞蹈家身上看到自己-玛莎·葛兰姆」前浪后浪一起乘风破浪#舞蹈 #抗疫
1178,「抗疫英雄归来」致敬最美的你们，你们用生命守护生命，我们用爱守护你们！#平江平江大平江 #抗疫 @抖音小助手
1179,『爱是光』手工皂礼盒#抗疫 #抗疫在行动 #医务工作者致敬 #冷制手工皂
1180,【 SELUTOL】BLUE CLEAN LOVE  蓝色的、洁净的爱！#卫爱同行 #抗疫 #新冠肺炎 #消毒
1181,【#中国抗疫·援外毫无保留】#抗疫#中国
1182,【#习近平主持中非团结抗疫特别峰会并发表主旨讲话】#中非团结抗疫特别峰会#抗疫
1183,【#了不起的中国人——#医警家长同#抗疫，小小兄妹相扶持】真是一个可爱的小暖男！
1184,【#以国家最高荣誉礼敬#抗疫功臣，实至名归！】#新闻我来说#新冠肺炎
1185,【#全球新冠确诊超228万】#新冠肺炎疫情#抗疫
1186,【#北京连续两天出现新增确诊病例#常态化防控容不得半点松懈】#抗疫
1187,【#北京顺义战疫感人一幕，#宝妈接力为隔离宝宝送母乳】#抗疫
1188,【#感恩奉献！#巴黎铁塔亮灯，#致敬#抗疫一线工作人员】
1189,【#抗疫军人：抗击非典埃博拉，我们从没怕过，这一次也不会退缩！】#致敬#抗击肺炎
1190,【#新闻我来说 _ 商家“吃相”忒难看，#抗疫#英雄不差你这顿饭】
1191,【#日本首相安倍称未来两周是#抗疫关键期，仅靠政府打不赢！】
1192,【#泪目！孩子哽咽着给在#抗疫一线的母亲发语音：我不想你，可是......】
1193,【#特警爸爸#抗疫0天抢空回家，警娃家门口欢快打气，转身泣不成声】#致敬
1194,【#美国历史上最糟糕的国务卿！美媒痛批蓬佩奥#抗疫期间“几无建树”】
1195,【#致敬，烈日下的坚守；致敬，我们的超级英雄】#英雄 #抗疫 #坚守
1196,【#解放军#抗疫专家支援亚洲三国】#战胜疫情dou行动
1197,【#记者质疑#特朗普#抗疫迟缓 #特朗普：人人都爱我】
1198,【#钟南山与欧洲同仁视频连线，介绍中国#抗疫成果及经验。】#抗击肺炎
1199,【“重症八仙”之一的她赶赴地坛再战新冠】#新冠肺炎#抗疫
1200,【一位摄影记者的2020相册】这里记录了 太多的酸甜苦辣，万张照片，看见宿迁的2020！#抗疫 #逆行者
1201,【俄罗斯马哈奇卡拉“致那些为抗击新冠疫情牺牲的医务人员”纪念碑 。】以此纪念即将过去的2⃣0⃣2⃣0⃣#抗疫
1202,【北大战疫前线报道】接管病房！前方医生每天发朋友圈报平安，我们都收到了！ #抗疫
1203,【平凡的岗位，无私的奉献，感谢所有默默付出的#抗疫工作者！】#正能量
1204,【心疼！95后女警通宵执勤，晕倒在#抗疫一线】#致敬
1205,【感动！他们温暖地对着我们隔空比心】#李兰娟院士 #抗疫
1206,【战忽快报】新冠病毒变异，英国全境失控，数百万人伦敦大逃亡！#新冠肺炎 #抗疫 #英国
1207,【抗疫红旗谱】张晓清，山西省人民医院党委书记，率队接管湖北仙桃市人民医院，患者零死亡，医护零感染#抗疫
1208,【父母在一线#抗疫，6岁女儿每天在家对着摄像头自言自语】愿此刻坚守，都奔向团圆！
1209,一下子又把我们拉回了那段#抗疫 时光，#致敬  每个中国人！#武汉#dou来辽聊身边事
1210,一个不少！今天，赴#意大利 参加#抗疫 的医疗专家平安回川！
1211,一个人火了石家庄，藁城，省二院，河北今年为各地区喊了一年的加油，现在为自己加油，加油我大河北，加油我的庄#抗疫
1212,一个人真的能毁了一座城#瑞丽加油#抗疫，我们能做的就是，请家人放心，做好自我防护。
1213,一个大男人昨天看抖爸爸推的抗议视频哭的稀里哗啦的，有没有同样的来举手#抗疫#素描@抖音小助手
1214,一个女生想去旅行迟迟没去，说明她是护士。如果她在旅行的路上一直睡觉，她是下夜班的护士。#护士#夜班#旅行#抗疫
1215,一个才25岁，正直青春年华的姑娘。看到这些话，隐隐的心痛，为小姑娘的无畏、无私所感动。#抗疫英雄 #抗疫
1216,一个永远忘不了的2020、沉重悼念抗疫牺牲的英雄和同胞们！永远会铭记你们#抗疫 #英雄
1217,一个老视频，同事说很应景…#护士#抗疫 @抖音小助手
1218,一些人想出了荒唐的对抗新冠肺炎病毒的措施——你会相信吗？说说你的感受#抗疫#荒唐#新冠肺炎 #防疫情
1219,"一份特殊的红包,意外收获一个“马舅舅”，这红包还满意吗？#抗疫"
1220,一位普通粮油老板抗疫保供的故事！  #抗疫  #抗疫保供
1221,一切为了乘客，为了一切乘客。致敬#镇江#抗疫 战士。
1222,一场优雅的夜雪 #济南  #雪  #抗疫
1223,一场疫情夺走了多少生命，又有多少白衣天使大无畏冲在一线献出了他们宝贵的生命，英雄一路走好🙏#抗疫 #白衣天使
1224,一场疫情，暴露了家长的智商😂😂#抗疫 #教育 #父母 @DOU+小助手
1225,一场疫情，让我们看清好多东西，健康和自由最宝贵，看清了人心的丑恶所以珍惜当下，学会感恩，回馈社会加油中国#抗疫
1226,一场突如其来的疫情，让多少人生活发生了变化？是危机四伏还是机会重重？#整装 #抗疫 @抖音小助手 @抖音游戏
1227,一堂干货满满的党课，一首歌颂英雄的战歌！ #抗疫  #党课  #新郑
1228,一墙之隔，小伙就在外面一直守着#我的观影报告 #感人 #抗疫 #在一起
1229,一夜之间我们医院排队做检测的爆满，热干面挺过去了，烤冷面挺过去了，炸酱面也一定能挺过去！加油#抗疫
1230,一夜之间都跑来打疫苗了#抗疫 #希望大家都平安健康
1231,一夜之间，石家庄已然成了空城。。#抗疫 #加油河北 @抖音小助手
1232,一天内就有五架飞机到中国紧急自提医疗物资！#抗疫物资 #抗疫
1233,一对亲兄弟 千里共#抗疫。为凤县河口镇岩湾村兀飞和兀云飞两兄弟点赞！！！
1234,一封“逆风前行”的请战书，承载着一份责任，一份担当和不畏艰险的勇气和决心，递交到了院党委。#抗疫 #抗疫一线
1235,一张全景照.关健帧#抗疫 #抗洪 #我还是从前那个少年 @抖音小助手
1236,一情无情，人亦有情。仅此娱乐。愿灾难早日远离人类，祝福他们!#抗疫 #搞笑 @抖音小助手
1237,一支走心的团，同心战疫，人人有责，#团队 #抖音小助手 #生活 #同心战疫 #合唱团 #风采展示 #抗疫
1238,一整天的各种报道从天而降，石家庄，藁城，省二院，随便搜索一个字体都是新冠，其实国际庄没有那么的不堪一击！#抗疫
1239,一方有难八方支援王者中国谁与争锋！#原创 #音乐脱口秀 #抗疫 @喜脸盆脱口秀
1240,一方有难，八方支援。大连人民不会忘记！@DOU+小助手 #抗疫#大连加油 #我的国我骄傲
1241,一方有难，八方支援，坚持就是胜利，加油！#抗疫
1242,一月离校五月回，童颜未改你是谁，😂😂😂，终于开学喽😄#开学了 #抗疫 #我要上热门
1243,一次雨中特殊的敬茶排练，为向可爱的医护人员敬一杯大红袍茶，请喝茶~ #抗疫
1244,一觉醒来，街道冷冷清清，停课封小区，启动全员核酸检测#向一线工作者致敬 #抗疫
1245,一起为家乡加油，为祖国加油！#崇阳 #抗疫 #全国哀悼日
1246,一起奋斗的战友！我们即将完成使命！湖北人民好样的！#抗疫 #逆行
1247,一起抗疫，迪拜也开始抄作业了👍#迪拜#新冠病毒 #抗疫
1248,一起看#抗击疫情 #抗疫 一线护士#石家庄永昌 球迷对#石家庄永昌 #中超 祝福，向所有#医生 #护士 致敬
1249,一路走好！沉痛送别三亚战疫英雄苏忠宁 #致敬 #抗疫
1250,一退伍“老兵”，小区封闭那天起就到卡口执勤，最后摘下口罩那一刻，让人真实领悟到：啥叫退伍不褪色！#抗疫#老兵
1251,一首“谢谢你，白衣天使”送给所有抗疫的医护人员，在次为抗疫牺牲烈士和逝世同胞默哀#抗疫 #白衣天使加油
1252,七台河市市场监督局开展核酸采样检测 防范冷链食品疫情风险#七台河 #抗疫 #抗疫一线 #抗疫在行动@鹏程网络
1253,七律—立春感怀 #立春 #十二生肖 #抗疫 #武汉加油 #诗词 #神州 @抖音粑粑 @抖音小助手
1254,七月你好！愿阴霾早日过去，你我安好，山河无恙#抗疫#最美的期待 #抖音小助手 #乐趣#手势舞
1255,七绝—终结（文_快活汤）#明天会更好 #抗疫 #诗词 #季节 #新冠肺炎 @抖音小助手 @抖音粑粑 #原创
1256,七绝—逆行者 快活汤 #抖音      #抗疫 #新冠肺炎 #英雄联盟       @抖音小助手 #原创
1257,万亿抗疫特别国债来了！首批000亿周四招标#抗疫#特别国债
1258,万众一心，众志长城#回家 #致敬白衣天 #抗疫 #民谣 #抗疫公益歌曲
1259,三#院士 谈中医药#抗疫 经验走出国门#中药 #抖音小助手 #粉丝
1260,三一重工连夜生产了5万只口罩，支援德国#抗疫#@抖音小助手
1261,三九天排队两个小时～终于检测上了～愿所有美好如约而至#抗疫   #致敬一线工作人员
1262,三亚发布最新疫情通报！#海南 #三亚 #疫情全知道 #抗疫
1263,三十多天了，依依不舍宜昌情，欢迎宜昌人民来福建玩。#抗疫 #宜昌 #宜建钟情福运昌盛 #回家
1264,三十度，戴了五个小时的护目镜，全是水蒸气、水滴，防护服里的可以想象#医生 #大连 #抗疫
1265,三哥，长点心吧，巡查员在外巡逻他们却躲在围栏里聚集#全球疫情 #印度疫情 #抗疫
1266,三神聚首之时，病魔魂飞魄散#游戏 #抗疫
1267,三秒学会看各种CT核磁片子，您学会了吗？#医学科普 #抗疫 #科普 #抖音小助手 @DOU+小助手 #健康 ❤
1268,上个视频火了，都在问结果出来了没有，都没问题哈，感谢大家的关心❤️愿我们都能平平安安，远离疫情，加油#抗疫
1269,上了一夜通宵，体会了师傅们没日没夜轮流加班的辛苦。为你们点赞👍👍#抗疫#志愿者#中国加油
1270,上半年 #抗疫，下半年 #抗洪，横批： 多难兴邦
1271,上半年#抗疫 ，下半年抗穷，全年抗衰。#双胞胎 #抖音热门
1272,上半年#抗疫，下半年#抗洪。#武汉加油！
1273,上半年#抗疫，下半年#抗洪！#湖北入汛以来已有354万人受灾 。湖北挺住！愿灾情早日结束！
1274,上半年抗疫，下半年抗洪！洪水无情人有情！如果在老家，我愿做个志愿者！加油！#抗洪 #抗疫 #安徽#安庆#桐城
1275,上半年抗疫，下半年抗洪，2020生病了，相信万众一心，很快会好起来的#抗疫 #抗洪救灾
1276,上半年抗疫，下半年抗洪，全年抗穷，只要心态好，出门就是巴厘岛！反正也不上班了，日子它抗抗就过去了！#抗疫
1277,上半年抗疫，年中在抗洪，下半年恐婚，全年在抗穷，2020保持好的心态活下去很重要#抗疫 #抗洪抢险 #恐婚
1278,上海亮灯欢迎守护者回家！#上海 #逆行者 #武汉加油 #医护人员 #抗疫
1279,上海工程技术大学艺术设计学院90后教师李千蕙捐5万蜜月费，回门宴取消，父母再捐20万#新型冠状病毒 #抗疫
1280,上海市民政局，上海复星公益，华泰保险捐赠绥芬河红十字会物资！第一时间已送达！#绥芬河加油 #黑龙江加油 #抗疫
1281,上海明天华城小区解封，居民欢呼！我们再一次胜利了！继续加油！#抗疫
1282,上海浦东机场排查出例确诊。#爱新觉罗贝 #上海疫情 #浦东机场 #抗疫 #英语 @抖音小助手 #每日英语
1283,上海这场新娘一个人的婚礼，看哭了亿万网友！祝福你们#抗疫 #英雄 #正能量 #爱情 @抖音小助手
1284,上班了，感觉怪怪的#抗疫 #上班
1285,上班好久不回家，摸下篮球至少证明我还年轻过！#抗疫#篮球
1286,上课录的#你要相信这不是这一天 #抗疫#中国#华晨宇#翻唱#高一#美女#唱歌#江门
1287,下午两点援鄂医护人员凯旋归来，我们在准备迎接工作。到时看可能直播。#抗疫 #阜南 #援鄂医疗队
1288,下完这场雨，我是否能回到那个满眼是“豫”的城市！#想家 #河南 #抗疫
1289,不一样的跨年，只愿山河无恙，人间皆安！！！#蓝天救援 #消杀防疫 #抗疫
1290,不仅店里暖，店主心里更暖  #抗疫  #成都  #正能量  @DOU+小助手
1291,不参加集会不要聚餐，低风险不等于无风险，珍惜来之不易的抗疫好形势。    #抗疫
1292,不同年龄段犯错后的反应#内容过于真实 #搞笑 #00后 #抗疫 #开心护卫队 #打工人
1293,不妄我睡医院3个月！#抗疫 #江西九江
1294,不开门感觉错过几个亿，开门一天进不来几个人还弄的灰头土脸，总之2020年挺忙的#抗疫#抗洪#修路#改造
1295,不想梳头 也不想洗脸#什么时候能出门啊#抗疫@抖音小助手
1296,不是gdp这才是现在的首要任务！#gdp #财经#抗疫
1297,不是亲人胜似亲人！八旬聋哑患者无子女，医护全天候照顾 #医者仁心 #致敬白衣天使 #抗疫 @抖音小助手
1298,不是我性格不好，是你驾驭不了！我拽归我拽，你拽就拜拜～滚#抗疫#宅家
1299,不用描述，这一刻就让人泪目！致敬前线的抗疫英雄！#抗疫 #疫情 #社区疫情志愿 #抗击疫情 #正能量
1300,不画你戴着鸭舌帽阳光帅气、泪流满面无助；累倒憔悴不堪的坚持~是千千万万前仆后继战斗在疫情前线的英雄面孔！#抗疫
1301,不畏严寒 坚守岗位 这样的小帅你们喜欢吗#我在岗位上 #抗疫 #戴好口罩做预防 #平安守护 #最可爱的人
1302,不知道你是谁，但知道你为了谁！致敬疫情中的“最美逆行者”！#最可爱的人 #抗疫 #致敬医护人员 #希望我们越来
1303,不管是不是曾经向往的模样，干一行爱一行！#一直dou在你身边 #抗疫
1304,不管疫情多严重，排除万难解决它，一个字“型”👍#烟雾 #吹散云雾现真容 #抗疫
1305,不经意间，2020年已过三分之一，此时，已是暮春初夏之际，一阵浅夏的风缓缓吹来，四月再见，五月到来！#抗疫
1306,不聚会 不集会  防感染 加油沈阳 加油中国 #向一线工作者致敬  #抗疫 #防控疫情我们在一起  #沈阳加油
1307,不聚餐、少出门、不添乱，自制美食也能冰爽过夏天！#抗疫 #自制美食 @抖音小助手
1308,不能出去玩 不给国家添乱！#抗疫 #新冠 #阿拉斯加
1309,不能出去签了禁酒协议，大哥与班主任的博弈。。。#封校#抗疫#周红
1310,不能重演《农夫与蛇》#农夫与蛇#抗疫#中美
1311,不要出门！不要出门！不要出门！重要的事说三遍！大家坚持住💗继续加油😷#抗疫 #中国加油
1312,不论你收获了多少喜悦，还是经历了多少苦难，在面对2020年的这场与病毒抗争的战斗中都已经烟消云散…#抗疫
1313,不论在人群在天边，让我看清你们的脸！#重庆 #抗疫 #孝感 #春天你好
1314,不负众望，荣誉归来#抗疫 @蘫斉
1315,不辱使命，武汉加油！中国加油！陕建人用自己特殊的方式记录西安公共卫生中心正式验收#抗疫 #抗疫一线
1316,不辱使命，祖国我们回来啦！#中国 政府赴柬埔寨 #抗疫 专家组今日返回！
1317,不辱使命，英雄凯旋！#重庆 #抗疫 #春天你好
1318,不追星，要追也是追救民于水火，助民于危难，给人以希望的“救星”#消防 #救援 #抗疫 @中国消防 @抖音小助手
1319,不逃离，不恐慌，听政府的话，相信很快就赢！#抗疫
1320,与守村人来个抗疫神曲，驱瘟抗疫#守村人 #抗疫
1321,专家权威提示，口罩变湿，防护效力下降！#新冠肺炎 #抗疫 #疫苗 #防控疫情我们在一起
1322,专家权威提示，如何科学开窗通风防病？#河北省进入战时状态 #抗疫 #疫情最新报道
1323,专家权威提示，进口冷链食品买回家，需要酒精消毒吗？#抗疫 #新冠肺炎 #防控疫情我们在一起
1324,世上从来没有从天而降的英雄，只有挺身而出的凡人。【 上集】 #最美逆行者  #抗疫  @贵阳小黄蜂车库
1325,世卫专家：中国抗疫的这三个方面，深深震撼我。#中国加油 #抗疫
1326,世卫总干事：一些国家没有接受世卫建议 最终将自行承担责任！！#抗疫 #全民防疫 #我和我的祖国
1327,世卫组织专家 #WHO 对中国  #抗疫 给予充分肯定
1328,世卫组织回应美国“买断”瑞德西韦：全球团结十分重要#抗疫 #美国
1329,世卫组织给武汉中学生手写回信#抗疫
1330,世卫组织表示_中国进入缓疫阶段@抖音小助手 #全球疫情 #抗疫
1331,世卫组织请求各国：千万不要放弃抗疫！#世界#世界卫生组织 #新型冠状病毒 #中国 #加油#抗疫 @抖音小助手
1332,世卫组织：中国，令人震撼！#中国 #抗疫
1333,世卫组织：已有抗体人群比例很低，绝大多数人仍易感染#抗疫
1334,世卫警告新冠可能永远没有特效药！我们到底该如何应对新冠病毒，世卫给出答案！#抗疫
1335,世卫：否认太迟宣布疫情，病毒将长期存在#抗疫
1336,世卫：新冠病毒来自自然界！#抗疫
1337,世界三大谎言：房价跌了，牛市来了，她还爱我。还有补充吗？🤔#抗疫 #医疗 #投资
1338,世界上本没有从天而降的英雄，只有无数挺身而出的逆行者！致敬所有最美的白衣天使～#沙画 #抗疫 #抗疫一线
1339,世界名画改编的#抗疫 宣传画，绝了！这几个月我们就是这么过来的#全民防疫@DOU+小助手
1340,世界很大，幸福很小，希望如期而至的不止是春天，还有疫情过后平平安安 健健康康的每一个人！#祈祷 #抗疫
1341,世界惊叹中国的凝聚力。#抗疫#众志成城抗击疫情
1342,世界都在头疼疫情。只有中国确实做到了处处想着人民。为强大的祖国点赞👍👍👍  #抗疫
1343,世界首个新冠疫苗的人体临床数据公布，全部志愿者产生免疫应答！#抗疫
1344,业主瞒报被感染，广州一小区整栋楼被隔离！#抗疫 #隔离
1345,东北硬核防疫广播实录！来源：彤彤 #社会#共同助力疫情防控 #抗疫  #东北
1346,东南卫视近期推出抗疫特别节目《李兰娟专访》，敬请关注！#李兰娟院士 #东南卫视 #抗疫
1347,东港抗疫英雄凯旋归来 #摄影  #抗疫  #东港  #逆行   @抖音小助手
1348,东西湖医院王鹏，母亲刚刚离世，带着感恩之心奋战抗疫第一线，连睡觉都是很奢侈的事#感恩#抗疫 #正能量#抖音
1349,两个韭菜盒子差点要了命… #搞笑 #抗疫 #韭菜盒子
1350,两会张伯礼回忆武汉抗疫历程，哽咽落泪，致敬逆行英雄！#两会 #抗疫 #最美逆行者
1351,两地调整疫情风险等级，安徽全域低风险#安徽 #抗疫
1352,严冬驰援，暖春凯旋，致敬英雄，欢迎回家！#援鄂医疗队撤离 #支援湖北医疗队开始撤离 #抗疫
1353,严格消毒，柜柜检测#抗疫 #冻品人
1354,严防死守 全力抗疫 守住帅府 同舟共济  #防控疫情我们在一起 #我在岗位上 #平安守护 #抗疫
1355,中专毕业武汉混了三十年，无房无车，写成小说《武汉爱情》刊于《长江丛刊》上，上了封面，真有范进中举的感觉！#抗疫
1356,中医#抗疫 历史久，今天就给你来#科普 #中医
1357,中医中药显神威，患者真实感受#抗疫
1358,中医抗疫宝典，三药三方#中医#抗疫
1359,中午的风好大，吹的眼睛都睁不开了#抗疫 #第35天
1360,中国 #专家们来了，我们心定了！中国陆续派出多支 #抗疫医疗专家组支援多国
1361,中国#抗疫  专家组今日启程赴#意大利 ，向勇士#致敬 ，为#中国 #点赞！
1362,中国#抗疫 了不起的成就@黄冈市信息中心
1363,中国#抗疫 成果获世卫点赞！槟榔、藿香等传统#中药 参与治疗，中西医结合疗法抗疫优势凸显。
1364,中国下阶段面临的是管控输入性巨大风险，上海专家团队称我们不得不严阵以待，迎接“二次过草地”的挑战#抗疫
1365,中国不但抗疫牛，瓷砖生产更牛！#抗疫 #瓷砖生产
1366,中国不是病毒避难所，维护抗议成果，全国人民一起努力那么久才有今天的成果#正能量#热门人 #抗疫 @抖音小助手
1367,中国两个字出现的时候属实有些诧异 妹妹还是很棒的 #新生军训 #抗疫 你们学校发#板蓝根 了吗
1368,中国为世界#抗击疫情 做贡献，看看来华接#抗疫 物资的外国#飞机
1369,中国人中国心🇨🇳 我们全部在一起❤️ 抗疫剧在一起5分钟十个故事混剪#在一起 #抗疫 #邓伦演大连小伙
1370,中国人中国心🇨🇳 我们永远在一起❤️ 2020单元类抗疫剧《在一起》5分钟十个故事混剪#在一起 #抗疫
1371,中国人民堪称世界上最好的老百姓，你做到一个合格的中国公民了吗？#抗疫 @DOU+小助手
1372,中国加油！泰国加油！愿我们这两个抗疫成功的国家早日开放旅游！#泰国 #抗疫 #加油 #旅游 @抖音小助手
1373,中国加油，白衣天使加油！卡游抗疫卡·逆行英雄#卡游 #抗疫
1374,中国医生伍连德解刨病人遗体，取得重大发现，著名的伍氏口罩诞生了。上今日头条搜《浴火危城》可以看 #古装 #抗疫
1375,中国医生驰援英国方舱医院，没想到外国老人治病要先签协议，这是啥情况？ #抗疫  #海外疫情  @抖音小助手
1376,中国医疗队赴马来西亚分享抗疫经验，当地安排警车为医疗队开路！#抗疫 #马来西亚🇲🇾
1377,中国医疗队飞抵意大利，请平安归来#抗疫
1378,中国好人太湖一人上榜_防疫战场连轴转、生命定格在战“疫”一线的太湖县徐桥镇前进村原党总支副书记孙训祥同志#抗疫
1379,中国所做的事情从来不谋求任何地缘政治的目标。就是这么坦诚！ #国际  #抗疫
1380,中国抗击新冠疫情在行动白皮书发布，一个个数字，真实记录了中国抗疫的伟大历程。#抖音小助手 #抗疫
1381,中国抗疫  惊天地  泣鬼神 @抖音小助手 @抖音文化站 #书法 #抗疫 #全民抗疫
1382,中国抗疫医疗专家组抵达布拉柴维尔#抗疫#刚果
1383,中国抗疫成功，中国的四个没想到#抗疫dou在行动 #抗疫
1384,中国抗疫精神正在鼓舞全世界。#抗疫 #抗疫一线 #法国 #沈阳 #武汉加油 #感谢抖音
